PAKKAUSNRO;AINETUN;AINENIMI
25;891;Carbo activatus
26;891;Carbo activatus
29;2255;Hydrocortisoni 17-butyras
30;2255;Hydrocortisoni 17-butyras
32;82;Acidum acetylsalicylicum
33;82;Acidum acetylsalicylicum
34;82;Acidum acetylsalicylicum
38;888;Carbidopum monohydricum
38;2631;Levodopum
42;82;Acidum acetylsalicylicum
44;82;Acidum acetylsalicylicum
45;82;Acidum acetylsalicylicum
48;4255;Sennosidae A + B
48;5851;Sennae acutifoliae aut angustifoliae fructus et folii extr.sicc.
51;706;Bisacodylum
52;706;Bisacodylum
63;3029;Morphini hydrochloridum
72;2321;Indapamidum
84;1739;Estradiolum hemihydricum
94;1316;Cyanocobalaminum
94;4091;Pyridoxini hydrochloridum
94;4590;Thiamini nitras
95;1316;Cyanocobalaminum
95;4091;Pyridoxini hydrochloridum
95;4590;Thiamini nitras
102;1499;Diltiazemi hydrochloridum
103;1499;Diltiazemi hydrochloridum
111;1473;Digoxinum
121;4587;Thiamini hydrochloridum
142;765;Bupivacaini hydrochloridum monohydricum
143;765;Bupivacaini hydrochloridum monohydricum
146;4295;Simeticonum
147;4295;Simeticonum
160;2204;Haloperidolum
161;2204;Haloperidolum
163;2204;Haloperidolum
167;586;Bacitracinum
167;3271;Neomycini sulfas
168;586;Bacitracinum
168;3271;Neomycini sulfas
170;586;Bacitracinum
170;3271;Neomycini sulfas
177;3765;Pilocarpini hydrochloridum
179;3765;Pilocarpini hydrochloridum
180;397;Amitriptylini hydrochloridum
181;397;Amitriptylini hydrochloridum
183;397;Amitriptylini hydrochloridum
185;397;Amitriptylini hydrochloridum
194;4013;Prochlorperazini maleas
203;1044;Chlorambucilum
227;1405;Dexpanthenolum
229;1405;Dexpanthenolum
235;2419;Plantaginis ovatae seminis tegumentum
236;2419;Plantaginis ovatae seminis tegumentum
237;2419;Plantaginis ovatae seminis tegumentum
238;2020;Fludrocortisoni acetas
243;1929;Fentanyli citras
244;1929;Fentanyli citras
250;3994;Prednisolonum
251;3994;Prednisolonum
258;1739;Estradiolum hemihydricum
259;1739;Estradiolum hemihydricum
260;1739;Estradiolum hemihydricum
261;1739;Estradiolum hemihydricum
262;3724;Phenoxymethylpenicillinum kalicum
265;3124;Natrii cromoglicas
290;1088;Chlorprothixeni hydrochloridum
292;1088;Chlorprothixeni hydrochloridum
306;2126;Glucagonum
307;2126;Glucagonum
310;1316;Cyanocobalaminum
310;4091;Pyridoxini hydrochloridum
310;4586;Thiamini disulfidum
311;1316;Cyanocobalaminum
311;4091;Pyridoxini hydrochloridum
311;4586;Thiamini disulfidum
313;3337;Nortriptylini hydrochloridum
314;3337;Nortriptylini hydrochloridum
322;3724;Phenoxymethylpenicillinum kalicum
323;3724;Phenoxymethylpenicillinum kalicum
325;3724;Phenoxymethylpenicillinum kalicum
326;4583;Theophyllinum monohydricum
336;3684;Perphenazinum
338;3684;Perphenazinum
340;3684;Perphenazinum
346;1400;Dexamethasonum
346;3271;Neomycini sulfas
346;3896;Polymyxini b sulfas
355;3584;Paracetamolum
363;806;Calcii carbonas
363;2768;Magnesii subcarbonas ponderosus
364;806;Calcii carbonas
364;2768;Magnesii subcarbonas ponderosus
365;806;Calcii carbonas
365;2768;Magnesii subcarbonas ponderosus
368;1423;Dextromethorphani hydrobromidum
368;1680;Ephedrini hydrochloridum
369;1423;Dextromethorphani hydrobromidum
369;1680;Ephedrini hydrochloridum
371;1423;Dextromethorphani hydrobromidum
371;1680;Ephedrini hydrochloridum
372;1423;Dextromethorphani hydrobromidum
372;1680;Ephedrini hydrochloridum
373;3529;Orphenadrini citras
375;3529;Orphenadrini citras
377;2640;Lidocaini hydrochloridum
378;2640;Lidocaini hydrochloridum
409;4236;Hyoscini hydrobromidum
411;66;Acetylcholini chloridum
416;2756;Magnesii hydroxidum pasta
417;176;Acidum salicylicum
417;1892;Extractum suprarenale purificata
417;3032;Mucopolysaccharidi polysulfas
418;176;Acidum salicylicum
418;1892;Extractum suprarenale purificata
418;3032;Mucopolysaccharidi polysulfas
420;176;Acidum salicylicum
420;1892;Extractum suprarenale purificata
420;3032;Mucopolysaccharidi polysulfas
440;5404;Hyoscini butylbromidum
450;3086;Natamycinum
460;2261;Hydrocortisonum
461;2261;Hydrocortisonum
462;2261;Hydrocortisonum
463;2261;Hydrocortisonum
465;2261;Hydrocortisonum
466;2261;Hydrocortisonum
467;2261;Hydrocortisonum
469;1405;Dexpanthenolum
469;2261;Hydrocortisonum
470;1405;Dexpanthenolum
470;2261;Hydrocortisonum
471;1405;Dexpanthenolum
471;2261;Hydrocortisonum
485;3795;Piroxicamum
486;3795;Piroxicamum
487;3795;Piroxicamum
488;3795;Piroxicamum
493;4365;Sotaloli hydrochloridum
494;4365;Sotaloli hydrochloridum
500;2261;Hydrocortisonum
500;3086;Natamycinum
500;3271;Neomycini sulfas
508;686;Betaxololi hydrochloridum
515;215;Adrenalini hydrogenotartras
515;2642;Lidocaini hydrochloridum monohydricum
516;215;Adrenalini hydrogenotartras
516;2642;Lidocaini hydrochloridum monohydricum
518;2260;Hydrocortisoni natrii succinas
520;2261;Hydrocortisonum
520;3559;Oxytetracyclini hydrochloridum
534;4437;Sufentanili citras
535;4437;Sufentanili citras
543;4437;Sufentanili citras
565;4087;Pyrazinamidum
571;1796;Etilefrini hydrochloridum
575;682;Betamethasoni valeras
576;682;Betamethasoni valeras
577;682;Betamethasoni valeras
579;682;Betamethasoni valeras
580;682;Betamethasoni valeras
581;682;Betamethasoni valeras
583;682;Betamethasoni valeras
590;2090;Furosemidum
591;2090;Furosemidum
592;2090;Furosemidum
593;2090;Furosemidum
640;2169;Gonadotrophinum chorionicum
668;577;Azathioprinum
676;2253;Hydrochlorothiazidum
677;2253;Hydrochlorothiazidum
696;2640;Lidocaini hydrochloridum
697;2640;Lidocaini hydrochloridum
698;216;Adrenalini tartras
699;4504;Tamsulosini hydrochloridum
700;4504;Tamsulosini hydrochloridum
712;4678;Tretinoinum
717;2410;Isosorbidi 5-mononitras
725;3743;Phenytoinum
728;1917;Felodipinum
729;1917;Felodipinum
735;3119;Natrii citras
735;3190;Natrii laurilsulfoacetas
735;4361;Sorbitolum
736;3119;Natrii citras
736;3190;Natrii laurilsulfoacetas
736;4361;Sorbitolum
739;3119;Natrii citras
739;3190;Natrii laurilsulfoacetas
739;4361;Sorbitolum
742;82;Acidum acetylsalicylicum
742;1221;Coffeinum
743;82;Acidum acetylsalicylicum
743;1221;Coffeinum
746;1918;Felypressinum
746;4002;Prilocaini hydrochloridum
747;1918;Felypressinum
747;4002;Prilocaini hydrochloridum
762;806;Calcii carbonas
762;2752;Magnesii hydroxidum
763;806;Calcii carbonas
763;2752;Magnesii hydroxidum
766;1434;Diazepamum
767;1434;Diazepamum
769;1434;Diazepamum
770;1434;Diazepamum
771;1434;Diazepamum
773;1434;Diazepamum
774;1434;Diazepamum
776;3529;Orphenadrini citras
776;3584;Paracetamolum
777;3529;Orphenadrini citras
777;3584;Paracetamolum
778;2873;Metamizolum natricum
778;3798;Pitofenoni hydrochloridum
779;2873;Metamizolum natricum
779;3798;Pitofenoni hydrochloridum
780;2873;Metamizolum natricum
780;3798;Pitofenoni hydrochloridum
781;2873;Metamizolum natricum
781;3798;Pitofenoni hydrochloridum
782;2873;Metamizolum natricum
782;3798;Pitofenoni hydrochloridum
791;2823;Meclozini dihydrochloridum
797;1603;Doxorubicini hydrochloridum
798;1603;Doxorubicini hydrochloridum
799;1217;Codeini phosphas hemihydricus
799;1555;Diphenhydramini hydrochloridum
799;1680;Ephedrini hydrochloridum
799;1860;Cocillanae extractum fluidum
800;1217;Codeini phosphas hemihydricus
800;1555;Diphenhydramini hydrochloridum
800;1680;Ephedrini hydrochloridum
800;1860;Cocillanae extractum fluidum
807;2944;Methylprednisoloni aceponas
808;2944;Methylprednisoloni aceponas
872;226;Aesculinum
872;1122;Cinchocaini hydrochloridum
872;2071;Framycetini sulfas
872;2261;Hydrocortisonum
877;678;Betamethasoni acetas
877;681;Betamethasoni natrii phosphas
880;678;Betamethasoni acetas
880;681;Betamethasoni natrii phosphas
882;4712;Trimipramini maleas
888;2698;Lymecyclinum
890;4546;Testosteroni decanoas
890;4548;Testosteroni isocaproas
890;4549;Testosteroni phenylpropionas
890;4550;Testosteroni propionas
891;3330;Norethisteronum
938;3724;Phenoxymethylpenicillinum kalicum
951;4365;Sotaloli hydrochloridum
952;4223;Salmeteroli xinafoas
960;324;Allopurinolum
963;4017;Progesteronum
964;4017;Progesteronum
971;791;Cabergolinum
972;791;Cabergolinum
978;7128;Exametazimum
979;7128;Exametazimum
982;2909;Methotrexatum
983;2909;Methotrexatum
1004;423;Amphotericinum b
1018;1047;Chloramphenicolum
1018;2259;Hydrocortisoni caproas
1019;1396;Dexamethasoni natrii phosphas
1023;2699;Lynestrenolum
1036;2260;Hydrocortisoni natrii succinas
1037;2260;Hydrocortisoni natrii succinas
1044;397;Amitriptylini hydrochloridum
1044;3684;Perphenazinum
1046;397;Amitriptylini hydrochloridum
1046;3684;Perphenazinum
1047;91;Acidum ascorbicum
1048;91;Acidum ascorbicum
1051;2945;Methylprednisoloni acetas
1053;2945;Methylprednisoloni acetas
1054;2948;Methylprednisolonum
1055;2948;Methylprednisolonum
1056;2948;Methylprednisolonum
1063;3544;Oxybuprocaini hydrochloridum
1064;72;Aciclovirum
1065;72;Aciclovirum
1066;713;Bisoprololi fumaras
1066;2253;Hydrochlorothiazidum
1067;713;Bisoprololi fumaras
1067;2253;Hydrochlorothiazidum
1068;4484;Suxamethonii chloridum
1075;2134;Glucosum monohydricum
1076;2134;Glucosum monohydricum
1077;2134;Glucosum monohydricum
1081;2134;Glucosum monohydricum
1082;2134;Glucosum monohydricum
1083;1943;Ferri hydroxidum polymaltosum complexum
1084;2884;Metformini hydrochloridum
1085;2884;Metformini hydrochloridum
1086;2884;Metformini hydrochloridum
1087;2842;Melphalanum
1129;1055;Chlordiazepoxidum
1129;1163;Clidinii bromidum
1130;1055;Chlordiazepoxidum
1130;1163;Clidinii bromidum
1131;4880;Warfarinum natricum
1132;4880;Warfarinum natricum
1133;4176;Riluzolum
1135;2834;Meglumini amidotrizoas
1135;3097;Natrii amidotrizoas
1145;3329;Norethisteroni acetas
1165;1737;Estradioli valeras
1171;4558;Tetracyclini hydrochloridum
1172;4558;Tetracyclini hydrochloridum
1190;1564;Dipyridamolum
1193;557;Atropini sulfas
1200;3584;Paracetamolum
1201;3584;Paracetamolum
1202;3584;Paracetamolum
1213;1181;Clonidini hydrochloridum
1225;1363;Deferoxamini mesilas
1228;3950;Povidonum iodinatum
1231;3950;Povidonum iodinatum
1232;3950;Povidonum iodinatum
1233;3950;Povidonum iodinatum
1236;3950;Povidonum iodinatum
1246;1088;Chlorprothixeni hydrochloridum
1247;4180;Risperidonum
1258;82;Acidum acetylsalicylicum
1267;1452;Diclofenacum natricum
1268;577;Azathioprinum
1269;577;Azathioprinum
1272;194;Acidum tranexamicum
1273;194;Acidum tranexamicum
1284;2302;Ichthammolum
1284;2850;Mentholum
1285;713;Bisoprololi fumaras
1285;2253;Hydrochlorothiazidum
1286;713;Bisoprololi fumaras
1286;2253;Hydrochlorothiazidum
1288;397;Amitriptylini hydrochloridum
1288;1055;Chlordiazepoxidum
1289;397;Amitriptylini hydrochloridum
1289;1055;Chlordiazepoxidum
1293;1181;Clonidini hydrochloridum
1296;4316;Soiae oleum fractionatum
1297;4316;Soiae oleum fractionatum
1298;4316;Soiae oleum fractionatum
1299;4316;Soiae oleum fractionatum
1309;4570;Tetryzolini hydrochloridum
1325;4910;Xylometazolini hydrochloridum
1328;1316;Cyanocobalaminum
1328;4091;Pyridoxini hydrochloridum
1328;4587;Thiamini hydrochloridum
1343;4090;Pyridostigmini bromidum
1344;4090;Pyridostigmini bromidum
1359;682;Betamethasoni valeras
1360;682;Betamethasoni valeras
1370;1217;Codeini phosphas hemihydricus
1370;2301;Ibuprofenum
1372;1217;Codeini phosphas hemihydricus
1372;2301;Ibuprofenum
1374;2996;Moclobemidum
1375;2996;Moclobemidum
1377;3117;Natrii chloridum
1378;3117;Natrii chloridum
1379;3117;Natrii chloridum
1380;3117;Natrii chloridum
1382;3117;Natrii chloridum
1383;2017;Fluconazolum
1419;3215;Natrii polystyrensulfonas
1425;113;Acidum gadotericum
1426;113;Acidum gadotericum
1427;113;Acidum gadotericum
1429;113;Acidum gadotericum
1430;113;Acidum gadotericum
1435;706;Bisacodylum
1442;2946;Methylprednisoloni natrii succinas
1447;3078;Nandroloni decanoas
1460;679;Betamethasoni dinatrii phosphas
1470;1434;Diazepamum
1477;1168;Clioquinolum
1477;2023;Flumetasoni pivalas
1479;2261;Hydrocortisonum
1479;3086;Natamycinum
1479;3271;Neomycini sulfas
1485;2253;Hydrochlorothiazidum
1485;4115;Ramiprilum
1486;2253;Hydrochlorothiazidum
1486;4115;Ramiprilum
1487;2288;Hydroxyzini hydrochloridum
1490;2288;Hydroxyzini hydrochloridum
1491;2288;Hydroxyzini hydrochloridum
1493;5401;Tetrofosminum
1496;3308;Nitrazepamum
1497;3308;Nitrazepamum
1499;4463;Sulfasalazinum
1501;581;Azithromycinum dihydricum
1502;581;Azithromycinum dihydricum
1503;4910;Xylometazolini hydrochloridum
1509;2955;Metoclopramidi hydrochloridum
1516;1737;Estradioli valeras
1536;2253;Hydrochlorothiazidum
1536;4111;Quinaprili hydrochloridum
1540;1396;Dexamethasoni natrii phosphas
1559;2410;Isosorbidi 5-mononitras
1561;1179;Clomipramini hydrochloridum
1571;806;Calcii carbonas
1571;825;Calcii lactas gluconas
1583;143;Acidum lacticum
1583;882;Ureum
1593;706;Bisacodylum
1594;706;Bisacodylum
1601;2093;Gabapentinum
1612;2253;Hydrochlorothiazidum
1612;4111;Quinaprili hydrochloridum
1613;2253;Hydrochlorothiazidum
1613;4111;Quinaprili hydrochloridum
1614;2189;Guaifenesinum
1614;4583;Theophyllinum monohydricum
1620;1602;Doxepini hydrochloridum
1621;1602;Doxepini hydrochloridum
1622;1602;Doxepini hydrochloridum
1623;1602;Doxepini hydrochloridum
1625;3950;Povidonum iodinatum
1626;3950;Povidonum iodinatum
1628;2084;Sennae fructus angustifoliae
1628;2419;Plantaginis ovatae seminis tegumentum
1628;3805;Plantaginis ovatae semen
1628;9949;Sennosidae B
1629;2084;Sennae fructus angustifoliae
1629;2419;Plantaginis ovatae seminis tegumentum
1629;3805;Plantaginis ovatae semen
1629;9949;Sennosidae B
1630;2084;Sennae fructus angustifoliae
1630;2419;Plantaginis ovatae seminis tegumentum
1630;3805;Plantaginis ovatae semen
1630;9949;Sennosidae B
1639;2410;Isosorbidi 5-mononitras
1640;2410;Isosorbidi 5-mononitras
1655;4216;Salbutamoli sulfas
1657;1158;Clarithromycinum
1658;1158;Clarithromycinum
1659;1158;Clarithromycinum
1660;1158;Clarithromycinum
1669;698;Bicalutamidum
1681;2331;Indometacinum
1682;2331;Indometacinum
1687;1602;Doxepini hydrochloridum
1712;397;Amitriptylini hydrochloridum
1712;1055;Chlordiazepoxidum
1713;397;Amitriptylini hydrochloridum
1713;1055;Chlordiazepoxidum
1719;4216;Salbutamoli sulfas
1724;926;Carvedilolum
1725;926;Carvedilolum
1742;3241;Natrii valproas
1743;588;Baclofenum
1744;588;Baclofenum
1745;176;Acidum salicylicum
1745;1892;Extractum suprarenale purificata
1745;3032;Mucopolysaccharidi polysulfas
1746;176;Acidum salicylicum
1746;1892;Extractum suprarenale purificata
1746;3032;Mucopolysaccharidi polysulfas
1749;176;Acidum salicylicum
1749;1892;Extractum suprarenale purificata
1749;3032;Mucopolysaccharidi polysulfas
1775;1179;Clomipramini hydrochloridum
1777;2946;Methylprednisoloni natrii succinas
1778;2946;Methylprednisoloni natrii succinas
1780;2946;Methylprednisoloni natrii succinas
1781;2946;Methylprednisoloni natrii succinas
1782;721;Bleomycini sulfas
1791;2637;Levonorgestrelum
1795;4098;Pyrvinii embonas
1796;4098;Pyrvinii embonas
1813;2889;Methenamini hippuras
1815;4709;Trimethoprimum
1816;4709;Trimethoprimum
1823;2441;Kalii chloridum
1824;2441;Kalii chloridum
1835;1167;Clindamycini phosphas
1836;91;Acidum ascorbicum
1836;2301;Ibuprofenum
1837;429;Ampicillinum natricum
1838;429;Ampicillinum natricum
1843;1190;Clotrimazolum
1848;1221;Coffeinum
1848;1405;Dexpanthenolum
1848;3219;Riboflavini natrii phosphas
1848;3285;Nicotinamidum
1848;4091;Pyridoxini hydrochloridum
1848;4590;Thiamini nitras
1850;17;2,4-dichlorbenzylalcoholum
1850;436;Amylmetacresolum
1850;2850;Mentholum
1852;557;Atropini sulfas
1853;3544;Oxybuprocaini hydrochloridum
1871;2965;Metronidazolum
1877;6760;Natriumperteknetaatti(99mTc)
1886;4800;Vancomycini hydrochloridum
1895;2090;Furosemidum
1895;4686;Triamterenum
1896;2090;Furosemidum
1896;4686;Triamterenum
1897;2090;Furosemidum
1897;4686;Triamterenum
1901;3546;Oxycodoni hydrochloridum
1902;3546;Oxycodoni hydrochloridum
1949;2268;Hydroxocobalamini acetas
1951;389;Aminofluoridum 297
1951;390;Aminofluoridum 335
1951;3141;Natrii fluoridum
1952;389;Aminofluoridum 297
1952;390;Aminofluoridum 335
1952;3141;Natrii fluoridum
1958;2970;Miconazoli nitras
1960;2970;Miconazoli nitras
1961;2255;Hydrocortisoni 17-butyras
1962;2255;Hydrocortisoni 17-butyras
1963;2255;Hydrocortisoni 17-butyras
1964;2255;Hydrocortisoni 17-butyras
1966;2255;Hydrocortisoni 17-butyras
1967;2255;Hydrocortisoni 17-butyras
1968;2255;Hydrocortisoni 17-butyras
1969;2255;Hydrocortisoni 17-butyras
1971;2965;Metronidazolum
1971;3352;Nystatinum
1976;2889;Methenamini hippuras
1979;747;Bromhexini hydrochloridum
1980;747;Bromhexini hydrochloridum
1988;747;Bromhexini hydrochloridum
1999;1166;Clindamycini palmitas hydrochloridum
2016;1384;Desmopressini acetas
2017;1384;Desmopressini acetas
2020;5681;Lactulosi solutio
2021;5681;Lactulosi solutio
2023;5681;Lactulosi solutio
2024;1387;Desonidum
2025;1387;Desonidum
2027;1387;Desonidum
2028;1387;Desonidum
2029;1387;Desonidum
2031;1387;Desonidum
2038;2884;Metformini hydrochloridum
2044;11185;[75Se] Acidum tauroselcholicum
2045;3070;Nabumetonum
2046;3070;Nabumetonum
2061;4736;Tropicamidum
2063;1605;Doxycyclini hyclas
2065;2965;Metronidazolum
2066;2965;Metronidazolum
2078;3547;Oxymetazolini hydrochloridum
2081;4845;Verapamili hydrochloridum
2083;4845;Verapamili hydrochloridum
2085;4845;Verapamili hydrochloridum
2096;1452;Diclofenacum natricum
2097;1452;Diclofenacum natricum
2106;4037;Propranololi hydrochloridum
2107;4037;Propranololi hydrochloridum
2108;4037;Propranololi hydrochloridum
2109;4037;Propranololi hydrochloridum
2114;1388;Desoximetasonum
2128;936;Cefalexinum monohydricum
2129;936;Cefalexinum monohydricum
2130;936;Cefalexinum monohydricum
2137;1170;Clobetasoli 17-propionas
2138;1170;Clobetasoli 17-propionas
2139;1170;Clobetasoli 17-propionas
2140;1170;Clobetasoli 17-propionas
2144;1405;Dexpanthenolum
2144;4146;Retinoli palmitas
2146;1400;Dexamethasonum
2147;1047;Chloramphenicolum
2147;1400;Dexamethasonum
2148;1047;Chloramphenicolum
2148;1394;Dexamethasoni 21-natrii phosphas
2158;406;Ammonii chloridum
2158;1866;Extractum fluidum quillajae
2159;406;Ammonii chloridum
2159;1866;Extractum fluidum quillajae
2166;651;Benzylis nicotinas
2166;2222;Heparinum natricum
2167;2090;Furosemidum
2168;2090;Furosemidum
2172;747;Bromhexini hydrochloridum
2183;388;Amiloridi hydrochloridum dihydricum
2183;2253;Hydrochlorothiazidum
2184;388;Amiloridi hydrochloridum dihydricum
2184;2253;Hydrochlorothiazidum
2192;3835;Lauromacrogolum 400
2194;3835;Lauromacrogolum 400
2197;3835;Lauromacrogolum 400
2204;4678;Tretinoinum
2213;2096;Gadoteridolum
2214;2096;Gadoteridolum
2215;2096;Gadoteridolum
2216;2096;Gadoteridolum
2217;4270;Poractantum alfa
2218;4270;Poractantum alfa
2220;331;Alprazolamum
2222;331;Alprazolamum
2223;1170;Clobetasoli 17-propionas
2224;1170;Clobetasoli 17-propionas
2231;677;Betamethasoni 17-valeras
2232;677;Betamethasoni 17-valeras
2233;677;Betamethasoni 17-valeras
2235;677;Betamethasoni 17-valeras
2236;677;Betamethasoni 17-valeras
2239;677;Betamethasoni 17-valeras
2240;677;Betamethasoni 17-valeras
2242;677;Betamethasoni 17-valeras
2242;1168;Clioquinolum
2243;677;Betamethasoni 17-valeras
2243;1168;Clioquinolum
2255;3584;Paracetamolum
2277;4173;Rifampicinum
2278;4173;Rifampicinum
2282;936;Cefalexinum monohydricum
2284;2664;Lithii carbonas
2289;1180;Clonazepamum
2291;1180;Clonazepamum
2292;2269;Hydroxychloroquini sulfas
2293;2269;Hydroxychloroquini sulfas
2314;852;Calcitoninum salmon. synth.
2315;749;Bromocriptini mesilas
2316;749;Bromocriptini mesilas
2318;3584;Paracetamolum
2319;3584;Paracetamolum
2321;519;Argentum sulfadiazinum
2322;519;Argentum sulfadiazinum
2323;519;Argentum sulfadiazinum
2336;2948;Methylprednisolonum
2337;5700;Estramustini natrii phosphas monohydricus
2362;324;Allopurinolum
2365;2441;Kalii chloridum
2370;3117;Natrii chloridum
2403;4338;Somatropinum humanum recombinant.
2404;4338;Somatropinum humanum recombinant.
2410;1452;Diclofenacum natricum
2411;4936;Zuclopenthixoli decanoas
2412;4936;Zuclopenthixoli decanoas
2428;4365;Sotaloli hydrochloridum
2429;4365;Sotaloli hydrochloridum
2446;5164;Salmonella typhi (Ty2) bacteria, Vi polysaccharide
2448;2261;Hydrocortisonum
2448;2970;Miconazoli nitras
2449;2261;Hydrocortisonum
2449;2970;Miconazoli nitras
2451;3360;Ofloxacinum
2454;3740;Phenylpropanolamini hydrochloridum
2455;3740;Phenylpropanolamini hydrochloridum
2476;388;Amiloridi hydrochloridum dihydricum
2476;2253;Hydrochlorothiazidum
2477;388;Amiloridi hydrochloridum dihydricum
2477;2253;Hydrochlorothiazidum
2485;3724;Phenoxymethylpenicillinum kalicum
2486;3724;Phenoxymethylpenicillinum kalicum
2492;2969;Mianserini hydrochloridum
2503;4709;Trimethoprimum
2508;3141;Natrii fluoridum
2510;3141;Natrii fluoridum
2522;3124;Natrii cromoglicas
2525;581;Azithromycinum dihydricum
2526;581;Azithromycinum dihydricum
2527;581;Azithromycinum dihydricum
2528;581;Azithromycinum dihydricum
2537;2672;Lomustinum
2546;2204;Haloperidolum
2553;2634;Levomepromazini maleas
2574;1434;Diazepamum
2577;1434;Diazepamum
2578;1171;Clobetasoni 17-butyras
2579;1171;Clobetasoni 17-butyras
2580;1171;Clobetasoni 17-butyras
2581;1171;Clobetasoni 17-butyras
2614;416;Amoxicillinum trihydricum
2618;416;Amoxicillinum trihydricum
2630;2411;Isosorbidi dinitras
2640;331;Alprazolamum
2642;331;Alprazolamum
2643;331;Alprazolamum
2645;331;Alprazolamum
2646;1059;Chlorhexidini digluconatis solutio 20 % w/v
2646;2255;Hydrocortisoni 17-butyras
2647;1059;Chlorhexidini digluconatis solutio 20 % w/v
2647;2255;Hydrocortisoni 17-butyras
2648;1059;Chlorhexidini digluconatis solutio 20 % w/v
2648;2255;Hydrocortisoni 17-butyras
2670;880;Carbamazepinum
2673;425;Amphotericinum b (liposom.)
2674;2889;Methenamini hippuras
2692;1593;Dopamini hydrochloridum
2695;2301;Ibuprofenum
2696;2301;Ibuprofenum
2699;2301;Ibuprofenum
2700;2301;Ibuprofenum
2710;3983;Prazosini hydrochloridum
2711;3983;Prazosini hydrochloridum
2725;2038;Fluoxetini hydrochloridum
2726;2038;Fluoxetini hydrochloridum
2728;962;Cefuroximum natricum
2731;962;Cefuroximum natricum
2733;4709;Trimethoprimum
2734;4709;Trimethoprimum
2735;4709;Trimethoprimum
2736;4709;Trimethoprimum
2764;4534;Terbutalini sulfas
2782;1452;Diclofenacum natricum
2784;1452;Diclofenacum natricum
2810;2969;Mianserini hydrochloridum
2811;2969;Mianserini hydrochloridum
2835;4845;Verapamili hydrochloridum
2836;4845;Verapamili hydrochloridum
2849;310;Alfacalcidolum
2852;5748;Iobenguanum (131 I)
2852;9053;Iobenguanum
2865;2090;Furosemidum
2867;2090;Furosemidum
2891;194;Acidum tranexamicum
2892;194;Acidum tranexamicum
2893;194;Acidum tranexamicum
2915;1605;Doxycyclini hyclas
2916;1605;Doxycyclini hyclas
2945;4395;Spironolactonum
2950;397;Amitriptylini hydrochloridum
2950;1055;Chlordiazepoxidum
2951;397;Amitriptylini hydrochloridum
2951;1055;Chlordiazepoxidum
2968;2674;Loperamidi hydrochloridum
2971;1452;Diclofenacum natricum
2993;82;Acidum acetylsalicylicum
3003;767;Buprenorphini hydrochloridum
3006;2993;Mitoxantroni hydrochloridum
3007;2993;Mitoxantroni hydrochloridum
3012;3241;Natrii valproas
3019;1058;Chlorhexidini digluconas
3019;2261;Hydrocortisonum
3020;1058;Chlorhexidini digluconas
3020;2261;Hydrocortisonum
3021;1058;Chlorhexidini digluconas
3021;2261;Hydrocortisonum
3022;1626;Econazoli nitras
3022;4682;Triamcinoloni acetonidum
3023;1626;Econazoli nitras
3023;4682;Triamcinoloni acetonidum
3025;2261;Hydrocortisonum
3026;2261;Hydrocortisonum
3039;1386;Desogestrelum
3039;1754;Ethinylestradiolum
3040;1386;Desogestrelum
3040;1754;Ethinylestradiolum
3041;1386;Desogestrelum
3041;1754;Ethinylestradiolum
3045;216;Adrenalini tartras
3045;765;Bupivacaini hydrochloridum monohydricum
3057;3073;Nafarelini acetas
3058;3073;Nafarelini acetas
3080;3294;Nilvadipinum
3081;3294;Nilvadipinum
3096;3991;Prednisoloni pivalas
3100;887;Carbidopum
3100;2631;Levodopum
3103;2253;Hydrochlorothiazidum
3103;2682;Losartanum kalicum
3104;2253;Hydrochlorothiazidum
3104;2682;Losartanum kalicum
3105;2253;Hydrochlorothiazidum
3105;2682;Losartanum kalicum
3108;4676;Trazodoni hydrochloridum
3109;4676;Trazodoni hydrochloridum
3112;1190;Clotrimazolum
3116;3584;Paracetamolum
3149;2411;Isosorbidi dinitras
3151;2411;Isosorbidi dinitras
3156;149;Acidum mefenamicum
3157;149;Acidum mefenamicum
3192;767;Buprenorphini hydrochloridum
3210;2253;Hydrochlorothiazidum
3211;2253;Hydrochlorothiazidum
3218;1739;Estradiolum hemihydricum
3218;3329;Norethisteroni acetas
3219;1739;Estradiolum hemihydricum
3219;3329;Norethisteroni acetas
3221;4216;Salbutamoli sulfas
3223;4243;Selegilini hydrochloridum
3224;3288;Nicotinum resin.  complex 20%
3225;3288;Nicotinum resin.  complex 20%
3227;3288;Nicotinum resin.  complex 20%
3228;3288;Nicotinum resin.  complex 20%
3229;3288;Nicotinum resin.  complex 20%
3231;3288;Nicotinum resin.  complex 20%
3252;4742;Tuberculini derivatum proteinosum purificatum ad usum humanum
3261;2134;Glucosum monohydricum
3262;2134;Glucosum monohydricum
3290;1059;Chlorhexidini digluconatis solutio 20 % w/v
3291;1059;Chlorhexidini digluconatis solutio 20 % w/v
3292;1059;Chlorhexidini digluconatis solutio 20 % w/v
3300;4527;Temazepamum
3301;4527;Temazepamum
3302;4527;Temazepamum
3311;4262;Sertralini hydrochloridum
3312;4262;Sertralini hydrochloridum
3315;926;Carvedilolum
3316;926;Carvedilolum
3320;4687;Triazolamum
3322;2557;Labetaloli hydrochloridum
3324;2557;Labetaloli hydrochloridum
3325;2557;Labetaloli hydrochloridum
3326;72;Aciclovirum
3328;72;Aciclovirum
3329;72;Aciclovirum
3349;2965;Metronidazolum
3350;2965;Metronidazolum
